,ASIANPAINT.NS,AUROPHARMA.NS,BAJFINANCE.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,KOTAKBANK.NS,MARUTI.NS,PIDILITIND.NS,TECHM.NS,TIINDIA.NS,YESBANK.NS,Pf_Value,Pf_Value_Pct,Pf_Value_Pct_100
2021-01-01,23910.08642578125,2697.6326293945312,46550.17639160156,10798.1826171875,43912.0849609375,15305.743103027344,55479.98046875,4765.80908203125,44229.791015625,9507.837646484375,8208.375854492188,79153.01513671875,36.0,344554.71533203125,1.0,100.0
2021-01-02,23910.08642578125,2697.6326293945312,46550.17639160156,10798.1826171875,43912.0849609375,15305.743103027344,55479.98046875,4765.80908203125,44229.791015625,9507.837646484375,8208.375854492188,79153.01513671875,36.0,344554.71533203125,1.0,100.0
2021-01-03,23910.08642578125,2697.6326293945312,46550.17639160156,10798.1826171875,43912.0849609375,15305.743103027344,55479.98046875,4765.80908203125,44229.791015625,9507.837646484375,8208.375854492188,79153.01513671875,36.0,344554.71533203125,1.0,100.0
2021-01-04,23721.85986328125,2808.1259765625,45986.385498046875,10729.60546875,44628.4423828125,15427.60986328125,56703.631591796875,4697.69384765625,44293.0458984375,9583.811767578125,8409.818725585938,79534.765625,36.0,346560.79650878906,1.005822242701931,100.5822242701931
2021-01-05,24067.73583984375,2847.6707153320312,45129.46014404297,10810.6826171875,45070.78125,15588.645629882812,56947.918701171875,4683.8323974609375,44023.6318359375,9667.571960449219,8425.765991210938,81403.77197265625,36.0,348703.4690551758,1.0120409140799207,101.20409140799207
2021-01-06,24166.8017578125,2817.1397094726562,44347.47802734375,10764.0830078125,44459.2431640625,15862.84423828125,56432.928466796875,4709.2855224609375,43869.2255859375,9639.920227050781,8369.530029296875,80536.19384765625,36.0,346010.6735839844,1.0042256227738753,100.42256227738753
2021-01-07,24053.952392578125,2783.991943359375,44794.45129394531,10731.5,43568.14453125,15700.3564453125,55554.827880859375,4666.2659912109375,43509.521484375,9497.90380859375,8349.385986328125,81458.29467773438,36.0,344704.5964355469,1.00043499942635,100.043499942635
2021-01-08,24505.784912109375,2749.0991821289062,44803.270568847656,10848.1923828125,43979.2138671875,15727.91748046875,57753.411865234375,4710.0032958984375,46090.6904296875,9766.902954101562,8822.35595703125,82662.99438476562,36.099998474121094,352455.93727874756,1.0229316900774446,102.29316900774445
2021-01-09,24505.784912109375,2749.0991821289062,44803.270568847656,10848.1923828125,43979.2138671875,15727.91748046875,57753.411865234375,4710.0032958984375,46090.6904296875,9766.902954101562,8822.35595703125,82662.99438476562,36.099998474121094,352455.93727874756,1.0229316900774446,102.29316900774445
2021-01-10,24505.784912109375,2749.0991821289062,44803.270568847656,10848.1923828125,43979.2138671875,15727.91748046875,57753.411865234375,4710.0032958984375,46090.6904296875,9766.902954101562,8822.35595703125,82662.99438476562,36.099998474121094,352455.93727874756,1.0229316900774446,102.29316900774445
2021-01-11,24545.410400390625,2806.5263671875,43941.49475097656,10998.224609375,44676.2744140625,15804.810791015625,60574.8291015625,4632.2080078125,47343.46875,9842.608520507812,9044.783935546875,83203.38134765625,35.900001525878906,357449.9209976196,1.037425712352135,103.7425712352135
2021-01-12,23436.2900390625,2786.3179321289062,44452.386474609375,11222.13671875,43697.8125,15900.56396484375,60378.961181640625,4549.2740478515625,47086.4150390625,9665.154968261719,8932.3095703125,82563.8427734375,36.099998474121094,354707.56520843506,1.0294665823006368,102.94665823006368
2021-01-13,23291.1298828125,2754.1878662109375,43224.309997558594,11143.7109375,43632.51953125,16147.197875976562,61056.817626953125,4498.247314453125,46809.234375,9627.571411132812,8978.05419921875,82325.86669921875,35.599998474121094,353524.4477157593,1.0260328243515238,102.60328243515238
2021-01-14,22948.275146484375,2789.2254638671875,42999.06280517578,11129.314453125,44114.384765625,16054.346923828125,60323.9501953125,4523.46240234375,46864.4384765625,9610.925720214844,8834.946899414062,82662.99438476562,35.70000076293945,352891.0276374817,1.024194451373034,102.41944513730341
